original_food_key,alternative_food_key,reason
almonds_dry_roasted,sunflower_seeds,Sunflower seeds are an alternative crunchy seed option; portion size still matters.
american_cheese,mozzarella_cheese,Part-skim mozzarella is a lighter cheese option than processed American cheese.
american_cheese,swiss_cheese,Swiss cheese is lower in sodium than processed American cheese in the current database.
american_cheese_restaurant,mozzarella_cheese,Part-skim mozzarella is a lighter option than restaurant-style American cheese.
apple_juice,apple,Whole apple provides fiber compared with juice.
bacon_cooked,chicken_breast_cooked,"Chicken breast is a leaner, less fatty protein option than bacon."
bacon_cooked,deli_ham,"Deli ham is lower in calories and fat than bacon in the current database, but still high in sodium."
basbousa,dates,Dates can provide natural sweetness in a smaller portion.
beef_breakfast_sausage,chicken_breast_cooked,"Chicken breast is a leaner, less processed option."
beef_breakfast_sausage,turkey_breakfast_sausage,Turkey breakfast sausage is a lighter option than beef breakfast sausage.
beef_hot_dog,chicken_breast_cooked,Chicken breast is a leaner protein option than a hot dog.
beef_hot_dog,ground_turkey_93_lean,Lean ground turkey is a less processed protein option than a hot dog.
beef_hot_dog,hummus,Hummus can be used as a less processed snack or spread option.
beef_top_loin_steak,beef_top_round_raw,Top round is a leaner beef cut in the current database.
bread_white,bread_whole_wheat,Whole wheat bread provides more fiber than white bread.
burger_beef,chicken_breast_grilled,Grilled chicken breast is a leaner protein option.
cake_chocolate,greek_yogurt_plain,Greek yogurt can be a lighter protein-rich sweet base.
cake_chocolate,strawberries,Strawberries offer a lighter sweet option with fiber.
candy_gummy,grapes,Grapes can provide a naturally sweet alternative.
cheddar_cheese,mozzarella_cheese,Part-skim mozzarella can be a lighter cheese choice than cheddar.
chicken_fried,chicken_breast_grilled,Grilled chicken breast reduces frying fat.
chocolate_bar,dark_chocolate,Dark chocolate can be a more intense option with a smaller portion.
chorizo_pork,chicken_breast_cooked,Chicken breast can replace chorizo when a leaner protein is preferred.
chorizo_pork,ground_turkey_93_lean,Lean ground turkey is a lighter protein choice than chorizo.
coconut_oil,green_olives,"Olives provide fat in a whole-food form, though sodium should still be considered."
coffee_milk_sugar,coffee_black,Black coffee avoids added sugar and extra calories.
cola_regular,cola_diet,Diet cola can reduce added sugar compared with regular cola.
cola_regular,sparkling_water,Sparkling water can replace cola without added sugar.
cola_regular,water,Water is the simplest zero-sugar drink option.
cookies_chocolate_chip,apple,A whole apple provides natural sweetness and fiber.
deli_ham,chicken_breast_cooked,Chicken breast is a lower-sodium option than deli ham in the current database.
dill_pickles,carrots_frozen,Carrots provide crunch with much less sodium than dill pickles.
donut_glazed,banana,Banana provides natural sweetness and fiber.
energy_drink,water,Water avoids added sugar and caffeine from energy drinks.
figs_dried,strawberries_raw,Fresh strawberries are less sugar-dense than dried figs.
flour_ap_bleached,flour_whole_wheat,Whole wheat flour provides more fiber than refined all-purpose flour.
flour_ap_unbleached,flour_whole_wheat,Whole wheat flour can support a more filling choice than refined flour.
flour_ap_unenriched,flour_whole_wheat,Whole wheat flour is a higher-fiber option than unenriched refined flour.
flour_bread_white,flour_whole_wheat,Whole wheat flour can be a higher-fiber option for baking when suitable.
flour_pastry,flour_whole_wheat,Whole wheat flour can add more fiber than pastry flour when the recipe allows.
flour_rice_white,flour_rice_brown,Brown rice flour provides a less refined rice-based option.
french_fries,potato_baked,Baked potato can be a lower-fat side than fried potatoes.
french_fries,rice_white_cooked,Cooked rice can be a simpler lower-fat side compared with fried potatoes.
