food_key,condition_key,risk_level,reason
granulated_sugar,diabetes_type_2,BLOCKED,Very high sugar content (99.8g/100g) is not suitable for blood glucose management
ketchup,diabetes_type_2,BLOCKED,High sugar content (21.8g/100g) may significantly affect blood glucose levels
figs_dried,diabetes_type_2,WARNING,High natural sugar concentration (47.9g/100g) warrants careful portion control
oatmeal_raisin_cookies,diabetes_type_2,BLOCKED,High sugar content (34.8g/100g) and refined carbohydrates not suitable for blood glucose management
sweet_sour_pork,diabetes_type_2,WARNING,Moderate sugar content (10.3g/100g) and refined carbohydrates require portion awareness
greek_yogurt_strawberry,diabetes_type_2,WARNING,Contains added sugars (11.5g/100g); plain varieties are a more suitable alternative
apple_fuji,diabetes_type_2,WARNING,Higher natural sugar content (12.6g/100g) among apple varieties; moderate portions advised
apple_honeycrisp,diabetes_type_2,WARNING,Higher natural sugar content (11.7g/100g); moderate portions advised
apple_gala,diabetes_type_2,WARNING,Moderate natural sugar content; suitable in controlled portions
apple_red_delicious,diabetes_type_2,WARNING,Moderate natural sugar content; suitable in controlled portions
banana_ripe,diabetes_type_2,WARNING,Moderate to high natural carbohydrate content (23g/100g); portion awareness advised
banana_overripe,diabetes_type_2,WARNING,Higher carbohydrate availability as banana ripens; moderate portions advised
flour_ap_bleached,diabetes_type_2,WARNING,Refined high-carbohydrate flour (77.3g/100g); whole grain alternatives preferred
flour_ap_unbleached,diabetes_type_2,WARNING,Refined high-carbohydrate flour (73.2g/100g); whole grain alternatives preferred
flour_ap_unenriched,diabetes_type_2,WARNING,Refined high-carbohydrate flour (74.6g/100g); whole grain alternatives preferred
flour_bread_white,diabetes_type_2,WARNING,Refined high-carbohydrate flour; whole grain alternatives preferred
flour_pastry,diabetes_type_2,WARNING,Refined high-carbohydrate flour; whole grain alternatives preferred
flour_rice_white,diabetes_type_2,WARNING,High-carbohydrate refined flour (79.8g/100g); brown rice flour is a better alternative
flour_rice_glutinous,diabetes_type_2,WARNING,Very high carbohydrate content (80.1g/100g); moderate use advised
white_bread,diabetes_type_2,WARNING,Refined carbohydrate source (49.2g/100g); whole wheat alternatives preferred
fried_rice_chinese,diabetes_type_2,WARNING,Moderate carbohydrate content (32.5g/100g); portion control advised
bean_pupusas,diabetes_type_2,WARNING,Moderate carbohydrate content (31.5g/100g); portion awareness advised
pork_tamale,diabetes_type_2,WARNING,Moderate carbohydrate content from corn masa; portion control advised
