alias,food_key,language,source
أرز,rice_white_cooked,ar,manual
أرز باللبن,rice_pudding,ar,manual
أرز بني,rice_brown_cooked,ar,manual
أفوكادو,avocado,ar,manual
أناناس,pineapple,ar,manual
ارز باللبن,rice_pudding,ar,manual
اسباجتي,spaghetti_tomato_sauce,ar,manual
ايس كريم,ice_cream_vanilla,ar,manual
بار جرانولا,granola_bar,ar,manual
بذور دوار الشمس,sunflower_seeds,ar,manual
برتقال,orange,ar,manual
برجر,burger_beef,ar,manual
برجر لحم,burger_beef,ar,manual
برجر نباتي,veggie_burger,ar,manual
بروكلي,broccoli_raw,ar,manual
برياني,biryani_chicken,ar,manual
برياني دجاج,biryani_chicken,ar,manual
برياني فراخ,biryani_chicken,ar,manual
بسبوسة,basbousa,ar,manual
بسكويت شوكولاتة,cookies_chocolate_chip,ar,manual
بسلة,peas_cooked,ar,manual
بصل,yellow_onion_raw,ar,manual
بطاطا,sweet_potato_baked,ar,manual
بطاطس مشوية,potato_baked,ar,manual
بطاطس مقلية,french_fries,ar,manual
بطيخ,watermelon,ar,manual
بلطي,tilapia_grilled,ar,manual
بياض بيض,large_egg_white,ar,manual
بيتزا,pizza_slice,ar,manual
بيض,large_egg_whole,ar,manual
بيض مخفوق,scrambled_egg,ar,manual
بيضة مسلوقة,boiled_egg,ar,manual
تفاح,apple,ar,manual
تمر,dates,ar,manual
توت أزرق,blueberries,ar,manual
توفو,tofu_firm,ar,manual
تونة,tuna_canned,ar,manual
تين مجفف,figs_dried,ar,manual
ثوم,garlic_raw,ar,manual
جبنة فيتا,feta_cheese,ar,manual
جبنة كريمي,cream_cheese,ar,manual
جزر,carrots_frozen,ar,manual
جمبري,shrimp_cooked,ar,manual
حلوى,candy_gummy,ar,manual
حليب قليل الدسم,milk_2_percent,ar,manual
حمص,hummus,ar,manual
حمص حب,chickpeas_cooked,ar,manual
حواوشي,hawawshi,ar,manual
خبز أبيض,bread_white,ar,manual
خبز تورتيلا,tortilla_wrap,ar,manual
خبز قمح كامل,bread_whole_wheat,ar,manual
خس,romaine_lettuce,ar,manual
خوخ,peaches_raw,ar,manual
خيار,cucumber,ar,manual
دايت كولا,cola_diet,ar,manual
دبوس دجاج,chicken_drumstick_cooked,ar,manual
دجاج مع الأرز,chicken_with_rice,ar,manual
دونات,donut_glazed,ar,manual
ذرة,corn_cooked,ar,manual
رز,rice_white_cooked,ar,manual
رز بالسمك,fish_with_rice,ar,manual
رز بالفراخ,chicken_with_rice,ar,manual
رز باللحم,lamb_with_rice,ar,manual
زبادي بالفواكه,yogurt_fruit,ar,manual
زبادي يوناني,greek_yogurt_plain,ar,manual
زبدة فول سوداني,peanut_butter,ar,manual
ساندوتش تركي,sandwich_turkey,ar,manual
ساندوتش جبنة,sandwich_cheese,ar,manual
سبانخ,spinach,ar,manual
ستيك,beef_steak_grilled,ar,manual
سجق,sausage_beef,ar,manual
سردين,sardines_canned,ar,manual
سكر,granulated_sugar,ar,manual
سلطة,mixed_salad,ar,manual
سلمون,salmon_grilled,ar,manual
سمك,grilled_fish,ar,manual
سمك بالرز,fish_with_rice,ar,manual
سمك بالفرن,fish_baked,ar,manual
سمك بلطي,tilapia_grilled,ar,manual
سمك مشوي,grilled_fish,ar,manual
سمك مقلي,fish_fried,ar,manual
سموذي,smoothie_fruit,ar,manual
شاورما,chicken_shawarma,ar,manual
شاورما فراخ,chicken_shawarma,ar,manual
