food_key,nutrition_basis,basis_amount_g,basis_note
almonds_dry_roasted,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
american_cheese,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
american_cheese_restaurant,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_fuji,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_gala,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_granny_smith,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_honeycrisp,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_juice,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
apple_red_delicious,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
avocado,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
bacon_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
baladi_bread,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
banana,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
banana_overripe,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
banana_ripe,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
basbousa,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
bean_pupusas,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beans_black,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beans_kidney,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_breakfast_sausage,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_eye_round_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_hot_dog,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_kebab,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_steak_grilled,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_tenderloin_roasted,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_top_loin_steak,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
beef_top_round_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
biryani_chicken,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
blueberries,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
boiled_egg,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
bread_white,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
bread_whole_wheat,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
broccoli_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
broccoli_steamed,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
burger_beef,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cake_chocolate,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
calamari_fried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
candy_gummy,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cantaloupe_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
carrots_frozen,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
carrots_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cereal_cornflakes,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cheddar_cheese,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_breast_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_breast_grilled,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_drumstick_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_fried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_nuggets,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_shawarma,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chicken_with_rice,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chickpeas_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chocolate_bar,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
chorizo_pork,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
coconut_oil,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cod_baked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
coffee_black,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
coffee_milk_sugar,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cola_diet,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cola_regular,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cookies_chocolate_chip,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
corn_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cottage_cheese_lowfat,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
couscous_cooked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cream_cheese,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
cucumber,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
dark_chocolate,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
dates,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
deli_ham,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
diced_tomatoes_canned,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
dill_pickles,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
donut_glazed,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_white_dried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_white_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_whole_dried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_whole_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_yolk_dried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
egg_yolk_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
energy_drink,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
falafel,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
falafel_taameya,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fatta_egyptian,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
feta_cheese,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
figs_dried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fish_baked,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fish_fried,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fish_with_rice,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_ap_bleached,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_ap_unbleached,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_ap_unenriched,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_bread_white,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_corn_yellow,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_pastry,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_rice_brown,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_rice_glutinous,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_rice_white,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_soy_defatted,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_soy_full_fat,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
flour_whole_wheat,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
foul_medames,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
french_fries,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fried_chicken_piece,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
fried_rice_chinese,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
garlic_raw,per_100g,100,All nutrient values in foods.csv are expressed per 100 g edible portion.
