alias,food_key,language,source
بذور دوار الشمس,sunflower_seeds,ar,manual
برتقال,oranges_raw,ar,manual
بروكلي,broccoli_raw,ar,manual
بصل,yellow_onion_raw,ar,manual
بياض بيض,large_egg_white,ar,manual
بيض,large_egg_whole,ar,manual
تفاح,apple_red_delicious,ar,manual
تونة,tuna_canned,ar,manual
تين مجفف,figs_dried,ar,manual
ثوم,garlic_raw,ar,manual
جزر,carrots_frozen,ar,manual
حليب قليل الدسم,milk_2_percent,ar,manual
حمص,hummus,ar,manual
خبز أبيض,white_bread,ar,manual
خبز قمح كامل,whole_wheat_bread,ar,manual
خس,romaine_lettuce,ar,manual
خوخ,peaches_raw,ar,manual
دبوس دجاج,chicken_drumstick_cooked,ar,manual
زبادي يوناني,greek_yogurt_plain,ar,manual
زبدة فول سوداني,peanut_butter,ar,manual
سكر,granulated_sugar,ar,manual
شمام,cantaloupe_raw,ar,manual
صدر دجاج,chicken_breast_cooked,ar,manual
صفار بيض,large_egg_yolk,ar,manual
طماطم,tomatoes_grape,ar,manual
فراولة,strawberries_raw,ar,manual
كرنب اجعد,kale_raw,ar,manual
كمثرى,pears_raw,ar,manual
كيوي,kiwi_raw,ar,manual
لبن قليل الدسم,milk_2_percent,ar,manual
لوز,almonds_dry_roasted,ar,manual
موز,banana_ripe,ar,manual
1 percent milk,milk_1_percent,en,manual
2 percent milk,milk_2_percent,en,manual
all purpose flour,flour_ap_unbleached,en,manual
all purpose flour bleached,flour_ap_bleached,en,auto_name
all purpose flour unbleached,flour_ap_unbleached,en,auto_name
all purpose flour unenriched,flour_ap_unenriched,en,auto_name
almond,almonds_dry_roasted,en,manual
almonds,almonds_dry_roasted,en,manual
almonds dry roasted,almonds_dry_roasted,en,auto_name
american cheese,american_cheese,en,auto_key
american cheese processed,american_cheese,en,auto_name
american cheese restaurant,american_cheese_restaurant,en,auto_name
apple,apple_red_delicious,en,manual
apple fuji,apple_fuji,en,auto_name
apple gala,apple_gala,en,auto_name
apple granny smith,apple_granny_smith,en,auto_name
apple honeycrisp,apple_honeycrisp,en,auto_name
apple red delicious,apple_red_delicious,en,auto_name
bacon,bacon_cooked,en,manual
bacon cooked,bacon_cooked,en,auto_name
banana,banana_ripe,en,manual
banana overripe,banana_overripe,en,auto_name
banana ripe,banana_ripe,en,auto_name
bean pupusa,bean_pupusas,en,manual
bean pupusas,bean_pupusas,en,auto_key
bean pupusas latino,bean_pupusas,en,auto_name
beef breakfast sausage,beef_breakfast_sausage,en,auto_name
beef eye of round roast,beef_eye_round_raw,en,auto_simplified
beef eye of round roast raw,beef_eye_round_raw,en,auto_name
beef eye round raw,beef_eye_round_raw,en,auto_key
beef hot dog,beef_hot_dog,en,auto_name
beef tenderloin,beef_tenderloin_roasted,en,auto_simplified
beef tenderloin roasted,beef_tenderloin_roasted,en,auto_name
beef top loin steak,beef_top_loin_steak,en,auto_key
beef top loin steak raw,beef_top_loin_steak,en,auto_name
beef top round raw,beef_top_round_raw,en,auto_key
beef top round roast,beef_top_round_raw,en,auto_simplified
beef top round roast raw,beef_top_round_raw,en,auto_name
bread,white_bread,en,manual
bread flour white,flour_bread_white,en,auto_name
broccoli,broccoli_raw,en,manual
broccoli raw,broccoli_raw,en,auto_name
brown rice flour,flour_rice_brown,en,auto_name
canned tuna,tuna_canned,en,manual
cantaloupe,cantaloupe_raw,en,manual
cantaloupe raw,cantaloupe_raw,en,auto_name
carrot,carrots_frozen,en,manual
carrots,carrots_frozen,en,manual
carrots frozen,carrots_frozen,en,auto_name
cheddar,cheddar_cheese,en,manual
cheddar cheese,cheddar_cheese,en,auto_name
chicken breast,chicken_breast_cooked,en,manual
chicken breast cooked,chicken_breast_cooked,en,auto_key
chicken breast skinless boneless,chicken_breast_cooked,en,auto_name
chicken drumstick,chicken_drumstick_cooked,en,auto_simplified
chicken drumstick cooked,chicken_drumstick_cooked,en,auto_name
chinese fried rice,fried_rice_chinese,en,manual
chorizo pork,chorizo_pork,en,auto_name
coconut oil,coconut_oil,en,auto_name
cooked chicken breast,chicken_breast_cooked,en,manual
cookies,oatmeal_raisin_cookies,en,manual
corn flour,flour_corn_yellow,en,manual
corn flour yellow,flour_corn_yellow,en,auto_name
cottage cheese,cottage_cheese_lowfat,en,manual
cottage cheese 2 percent,cottage_cheese_lowfat,en,auto_simplified
cottage cheese 2 percent lowfat,cottage_cheese_lowfat,en,auto_name
cottage cheese lowfat,cottage_cheese_lowfat,en,auto_key
deli ham,deli_ham,en,auto_key
deli ham sliced,deli_ham,en,auto_name
diced tomatoes,diced_tomatoes_canned,en,auto_simplified
diced tomatoes canned,diced_tomatoes_canned,en,auto_name
dill pickles,dill_pickles,en,auto_name
dried fig,figs_dried,en,manual
dried figs,figs_dried,en,manual
egg,large_egg_whole,en,manual
egg white,egg_white_raw,en,auto_simplified
egg white dried,egg_white_dried,en,auto_name
egg white raw,egg_white_raw,en,auto_name
egg whole dried,egg_whole_dried,en,auto_name
egg whole raw,egg_whole_raw,en,auto_name
egg yolk,egg_yolk_raw,en,auto_simplified
egg yolk dried,egg_yolk_dried,en,auto_name
egg yolk raw,egg_yolk_raw,en,auto_name
fig,figs_dried,en,manual
figs dried,figs_dried,en,auto_name
flour ap bleached,flour_ap_bleached,en,auto_key
flour ap unbleached,flour_ap_unbleached,en,auto_key
flour ap unenriched,flour_ap_unenriched,en,auto_key
flour bread white,flour_bread_white,en,auto_key
flour corn yellow,flour_corn_yellow,en,auto_key
flour pastry,flour_pastry,en,auto_key
flour rice brown,flour_rice_brown,en,auto_key
flour rice glutinous,flour_rice_glutinous,en,auto_key
flour rice white,flour_rice_white,en,auto_key
flour soy defatted,flour_soy_defatted,en,auto_key
flour soy full fat,flour_soy_full_fat,en,auto_key
flour whole wheat,flour_whole_wheat,en,auto_key
fried rice,fried_rice_chinese,en,manual
fried rice chinese,fried_rice_chinese,en,auto_key
fried rice no meat chinese,fried_rice_chinese,en,auto_name
fuji apple,apple_fuji,en,manual
full fat milk,milk_whole,en,manual
gala apple,apple_gala,en,manual
garlic,garlic_raw,en,manual
garlic raw,garlic_raw,en,auto_name
glutinous rice flour,flour_rice_glutinous,en,auto_name
granny smith apple,apple_granny_smith,en,manual
granulated sugar,granulated_sugar,en,auto_name
grape tomato,tomatoes_grape,en,manual
grape tomatoes,tomatoes_grape,en,manual
grapefruit juice,grapefruit_juice,en,auto_name
greek yogurt,greek_yogurt_plain,en,auto_simplified
greek yogurt plain,greek_yogurt_plain,en,auto_key
greek yogurt plain nonfat,greek_yogurt_plain,en,auto_name
greek yogurt strawberry,greek_yogurt_strawberry,en,auto_key
greek yogurt strawberry nonfat,greek_yogurt_strawberry,en,auto_name
green apple,apple_granny_smith,en,manual
green beans,green_beans_canned,en,auto_simplified
green beans canned,green_beans_canned,en,auto_name
green olive,green_olives,en,manual
green olives,green_olives,en,auto_key
green olives stuffed,green_olives,en,auto_name
grilled chicken breast,chicken_breast_cooked,en,manual
ground turkey,ground_turkey_93_lean,en,manual
ground turkey 93 lean,ground_turkey_93_lean,en,auto_key
ground turkey 93 percent lean,ground_turkey_93_lean,en,auto_name
haddock,haddock_raw,en,manual
haddock raw,haddock_raw,en,auto_name
ham,deli_ham,en,manual
ham restaurant,ham_restaurant,en,auto_key
ham sliced restaurant,ham_restaurant,en,auto_name
honeycrisp apple,apple_honeycrisp,en,manual
hot dog,beef_hot_dog,en,manual
hummus,hummus,en,auto_name
italian pork sausage,italian_pork_sausage,en,auto_name
kale,kale_raw,en,manual
kale frozen cooked,kale_frozen_cooked,en,auto_name
kale raw,kale_raw,en,auto_name
ketchup,ketchup,en,auto_name
kiwi,kiwi_raw,en,manual
kiwi raw,kiwi_raw,en,auto_name
large egg,large_egg_whole,en,auto_simplified
large egg white,large_egg_white,en,auto_name
large egg whole,large_egg_whole,en,auto_name
large egg yolk,large_egg_yolk,en,auto_name
lean turkey,ground_turkey_93_lean,en,manual
lettuce,romaine_lettuce,en,manual
low fat milk,milk_1_percent,en,manual
marinara,marinara_sauce,en,manual
marinara pasta sauce,marinara_sauce,en,auto_name
marinara sauce,marinara_sauce,en,auto_key
milk 1 percent,milk_1_percent,en,auto_key
milk 1 percent lowfat,milk_1_percent,en,auto_name
milk 2 percent,milk_2_percent,en,auto_key
milk 2 percent reduced fat,milk_2_percent,en,auto_name
milk skim,milk_skim,en,auto_key
milk skim nonfat,milk_skim,en,auto_name
milk whole,milk_whole,en,auto_name
mozzarella,mozzarella_cheese,en,manual
mozzarella cheese,mozzarella_cheese,en,auto_key
mozzarella cheese part skim,mozzarella_cheese,en,auto_name
mustard,yellow_mustard,en,manual
nectarine,nectarines_raw,en,manual
nectarines,nectarines_raw,en,manual
nectarines raw,nectarines_raw,en,auto_name
nonfat milk,milk_skim,en,manual
oatmeal cookie,oatmeal_raisin_cookies,en,manual
oatmeal raisin cookie,oatmeal_raisin_cookies,en,manual
oatmeal raisin cookies,oatmeal_raisin_cookies,en,auto_name
olive,green_olives,en,manual
olives,green_olives,en,manual
onion,yellow_onion_raw,en,manual
onion rings baked,onion_rings_baked,en,auto_key
onion rings frozen baked,onion_rings_baked,en,auto_name
orange,oranges_raw,en,manual
oranges,oranges_raw,en,manual
oranges raw,oranges_raw,en,auto_name
overripe banana,banana_overripe,en,manual
parmesan,parmesan_cheese,en,manual
parmesan cheese,parmesan_cheese,en,auto_key
parmesan cheese grated,parmesan_cheese,en,auto_name
pastry flour,flour_pastry,en,auto_name
peach,peaches_raw,en,manual
peaches,peaches_raw,en,manual
peaches raw,peaches_raw,en,auto_name
peanut butter,peanut_butter,en,auto_key
peanut butter smooth,peanut_butter,en,auto_name
pear,pears_raw,en,manual
pears,pears_raw,en,manual
pears raw,pears_raw,en,auto_name
pickle,dill_pickles,en,manual
pickles,dill_pickles,en,manual
plain greek yogurt,greek_yogurt_plain,en,manual
pollock,pollock_raw,en,manual
pollock raw,pollock_raw,en,auto_name
pork tamale,pork_tamale,en,auto_key
pork tamale latino,pork_tamale,en,auto_name
porterhouse steak,porterhouse_steak,en,auto_key
porterhouse steak raw,porterhouse_steak,en,auto_name
