portion_key,food_key,portion_name,grams,is_reference_portion,portion_note
almonds_dry_roasted_100g,almonds_dry_roasted,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
american_cheese_100g,american_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
american_cheese_restaurant_100g,american_cheese_restaurant,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_100g,apple,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_fuji_100g,apple_fuji,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_gala_100g,apple_gala,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_granny_smith_100g,apple_granny_smith,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_honeycrisp_100g,apple_honeycrisp,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_juice_100g,apple_juice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
apple_red_delicious_100g,apple_red_delicious,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
avocado_100g,avocado,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
bacon_cooked_100g,bacon_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
baladi_bread_100g,baladi_bread,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
banana_100g,banana,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
banana_overripe_100g,banana_overripe,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
banana_ripe_100g,banana_ripe,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
basbousa_100g,basbousa,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
bean_pupusas_100g,bean_pupusas,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beans_black_100g,beans_black,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beans_kidney_100g,beans_kidney,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_breakfast_sausage_100g,beef_breakfast_sausage,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_eye_round_raw_100g,beef_eye_round_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_hot_dog_100g,beef_hot_dog,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_kebab_100g,beef_kebab,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_steak_grilled_100g,beef_steak_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_tenderloin_roasted_100g,beef_tenderloin_roasted,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_top_loin_steak_100g,beef_top_loin_steak,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
beef_top_round_raw_100g,beef_top_round_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
