food_key,mood,reason
almonds_dry_roasted,focus,Healthy fats and protein support sustained energy and concentration
almonds_dry_roasted,stress,Balanced snack with protein and healthy fats for a satisfying routine
apple_fuji,low_energy,Naturally sweet fruit option offering a gentle carbohydrate source
apple_fuji,stress,Light portable snack suitable for a balanced nutrition routine
apple_gala,low_energy,Sweet mild fruit with natural sugars for a light energy boost
apple_granny_smith,low_energy,Tart refreshing fruit providing natural carbohydrates and fiber
apple_honeycrisp,low_energy,Refreshing fruit with natural carbohydrates for a quick pick-me-up
apple_honeycrisp,stress,Balanced light snack with fiber to support a steady routine
apple_red_delicious,low_energy,Light fruit with natural sugars and fiber for a gentle energy lift
apple_red_delicious,stress,Crisp light snack option that supports a balanced snacking routine
banana,low_energy,Provides carbohydrates or protein that can support steady energy.
banana_overripe,fatigue,Higher natural sugar content offers a fast carbohydrate source for energy
banana_overripe,low_energy,Soft and easily digestible fruit for quick energy replenishment
banana_ripe,fatigue,Provides quick natural carbohydrates and potassium for energy support
banana_ripe,low_energy,Light fruit option with natural sugars for a quick refreshment boost
bean_pupusas,fatigue,Carbohydrate and protein combination provides steady filling energy
bean_pupusas,low_energy,Moderate carb and protein content offers a satisfying energy source
beef_eye_round_raw,fatigue,Lean beef cut providing protein support for energy and recovery
beef_tenderloin_roasted,fatigue,High-protein lean beef supporting energy recovery and satiety
beef_tenderloin_roasted,focus,Complete protein source supporting sustained energy during demanding tasks
beef_top_loin_steak,sadness,Satisfying protein-rich meal option offering comfort and substance
beef_top_round_raw,fatigue,Lean protein-rich beef supporting energy and physical recovery
blueberries,focus,Provides nutrients that may support steady focus as part of a balanced routine.
bread_white,fatigue,Quick carbohydrate source providing fast energy in moderate portions
bread_white,low_energy,Accessible carbohydrate option for a quick energy lift
bread_whole_wheat,fatigue,Fiber-rich carbohydrate source supporting gradual energy release
bread_whole_wheat,focus,Complex carbohydrates and fiber support steady energy and concentration
bread_whole_wheat,low_energy,Provides complex carbohydrates for sustained and gentle energy support
broccoli_raw,focus,Fiber and protein content supports steady digestion and alertness
broccoli_raw,stress,Low-calorie nutrient-dense vegetable suitable for a balanced meal
