food_key,allergy_key
almonds_dry_roasted,tree_nuts
american_cheese,milk
american_cheese_restaurant,milk
baladi_bread,gluten
beef_breakfast_sausage,gluten
beef_breakfast_sausage,soy
beef_hot_dog,gluten
beef_hot_dog,soy
boiled_egg,egg
bread_white,gluten
bread_whole_wheat,gluten
burger_beef,gluten
cake_chocolate,egg
cake_chocolate,gluten
calamari_fried,shellfish
cereal_cornflakes,gluten
cheddar_cheese,milk
chicken_shawarma,gluten
chorizo_pork,gluten
chorizo_pork,soy
coconut_oil,tree_nuts
cod_baked,fish
coffee_milk_sugar,milk
cookies_chocolate_chip,egg
cookies_chocolate_chip,gluten
cottage_cheese_lowfat,milk
cream_cheese,milk
deli_ham,soy
dill_pickles,mustard
dill_pickles,sulfites
donut_glazed,egg
donut_glazed,gluten
egg_white_dried,egg
egg_white_raw,egg
egg_whole_dried,egg
egg_whole_raw,egg
egg_yolk_dried,egg
egg_yolk_raw,egg
falafel,sesame
falafel_taameya,sesame
fatta_egyptian,gluten
feta_cheese,milk
figs_dried,sulfites
fish_baked,fish
fish_fried,fish
fish_with_rice,fish
flour_ap_bleached,gluten
flour_ap_unbleached,gluten
flour_ap_unenriched,gluten
flour_bread_white,gluten
flour_pastry,gluten
flour_soy_defatted,soy
flour_soy_full_fat,soy
flour_whole_wheat,gluten
fried_rice_chinese,gluten
fried_rice_chinese,sesame
grapefruit_juice,sulfites
greek_yogurt_plain,milk
greek_yogurt_strawberry,milk
green_olives,sulfites
grilled_fish,fish
haddock_raw,fish
ham_restaurant,soy
hawawshi,gluten
hot_dog,gluten
hummus,peanuts
hummus,sesame
ice_cream_vanilla,milk
italian_pork_sausage,gluten
italian_pork_sausage,soy
ketchup,gluten
ketchup,sulfites
koshari,gluten
labneh,milk
large_egg_white,egg
large_egg_whole,egg
large_egg_yolk,egg
lasagna,gluten
macaroni_bechamel,gluten
macaroni_bechamel,milk
marinara_sauce,gluten
marinara_sauce,soy
marinara_sauce,sulfites
milk_1_percent,milk
milk_2_percent,milk
milk_skim,milk
milk_whole,milk
mozzarella_cheese,milk
nuts_mixed,tree_nuts
oatmeal_raisin_cookies,egg
oatmeal_raisin_cookies,gluten
onion_rings_baked,gluten
parmesan_cheese,milk
pasta_alfredo,gluten
pasta_cooked,gluten
peanut_butter,peanuts
peanuts,peanuts
pita_bread,gluten
pizza_slice,gluten
pollock_raw,fish
pork_tamale,gluten
queso_seco,milk
rice_pudding,gluten
ricotta_cheese,milk
salmon_grilled,fish
salsa,gluten
salsa,mustard
salsa,sesame
sandwich_cheese,gluten
sandwich_turkey,gluten
sardines_canned,fish
scrambled_egg,egg
sea_bass_grilled,fish
shawarma_chicken,gluten
shrimp_cooked,shellfish
spaghetti_tomato_sauce,gluten
sunflower_seeds,tree_nuts
sweet_sour_pork,gluten
sweet_sour_pork,sesame
swiss_cheese,milk
tilapia_grilled,fish
tofu_firm,soy
tortilla_wrap,gluten
tuna_canned,fish
turkey_breakfast_sausage,soy
veggie_burger,soy
yellow_mustard,mustard
yogurt_fruit,milk
