food_key,allergy_key
milk_whole,milk
milk_2_percent,milk
milk_1_percent,milk
milk_skim,milk
ricotta_cheese,milk
cheddar_cheese,milk
swiss_cheese,milk
parmesan_cheese,milk
american_cheese,milk
american_cheese_restaurant,milk
mozzarella_cheese,milk
cottage_cheese_lowfat,milk
queso_seco,milk
greek_yogurt_plain,milk
greek_yogurt_strawberry,milk
egg_whole_raw,egg
egg_white_raw,egg
egg_white_dried,egg
egg_whole_dried,egg
egg_yolk_raw,egg
egg_yolk_dried,egg
large_egg_white,egg
large_egg_yolk,egg
large_egg_whole,egg
oatmeal_raisin_cookies,egg
tuna_canned,fish
haddock_raw,fish
pollock_raw,fish
almonds_dry_roasted,tree_nuts
sunflower_seeds,tree_nuts
coconut_oil,tree_nuts
peanut_butter,peanuts
hummus,peanuts
flour_soy_defatted,soy
flour_soy_full_fat,soy
beef_hot_dog,soy
beef_breakfast_sausage,soy
turkey_breakfast_sausage,soy
italian_pork_sausage,soy
chorizo_pork,soy
deli_ham,soy
ham_restaurant,soy
marinara_sauce,soy
white_bread,gluten
whole_wheat_bread,gluten
flour_ap_bleached,gluten
flour_ap_unbleached,gluten
flour_ap_unenriched,gluten
flour_whole_wheat,gluten
flour_bread_white,gluten
flour_pastry,gluten
oatmeal_raisin_cookies,gluten
onion_rings_baked,gluten
beef_hot_dog,gluten
beef_breakfast_sausage,gluten
italian_pork_sausage,gluten
chorizo_pork,gluten
pork_tamale,gluten
fried_rice_chinese,gluten
sweet_sour_pork,gluten
ketchup,gluten
marinara_sauce,gluten
salsa,gluten
hummus,sesame
salsa,sesame
fried_rice_chinese,sesame
sweet_sour_pork,sesame
yellow_mustard,mustard
dill_pickles,mustard
salsa,mustard
dill_pickles,sulfites
green_olives,sulfites
figs_dried,sulfites
grapefruit_juice,sulfites
marinara_sauce,sulfites
ketchup,sulfites
grilled_fish,fish
salmon_grilled,fish
tilapia_grilled,fish
shrimp_cooked,fish
sardines_canned,fish
fish_fried,fish
fish_baked,fish
cod_baked,fish
sea_bass_grilled,fish
calamari_fried,fish
yogurt_fruit,milk
cream_cheese,milk
feta_cheese,milk
labneh,milk
ice_cream_vanilla,milk
coffee_milk_sugar,milk
boiled_egg,egg
scrambled_egg,egg
cake_chocolate,egg
cookies_chocolate_chip,egg
donut_glazed,egg
bread_white,gluten
bread_whole_wheat,gluten
rice_pudding,gluten
pizza_slice,gluten
pasta_cooked,gluten
spaghetti_tomato_sauce,gluten
tortilla_wrap,gluten
pita_bread,gluten
cereal_cornflakes,gluten
pasta_alfredo,gluten
lasagna,gluten
sandwich_turkey,gluten
sandwich_cheese,gluten
chicken_shawarma,gluten
shawarma_chicken,gluten
burger_beef,gluten
beef_burger,gluten
hot_dog,gluten
cake_chocolate,gluten
cookies_chocolate_chip,gluten
donut_glazed,gluten
baladi_bread,gluten
hawawshi,gluten
koshari,gluten
peanuts,peanuts
nuts_mixed,tree_nuts
tofu_firm,soy
veggie_burger,soy
falafel,sesame
falafel_taameya,sesame
