food_key,condition_key,risk_level,reason
almonds_dry_roasted,high_cholesterol,WARNING,High fat (57.8g/100g) though mainly heart-healthy unsaturated fat; moderate portions fine
almonds_dry_roasted,hypertension,WARNING,Moderate sodium content (256mg/100g) from added salt; unsalted varieties preferred
almonds_dry_roasted,obesity,WARNING,High caloric density (620 kcal/100g); nutritious but portion control is important for weight management
american_cheese,high_cholesterol,WARNING,High saturated fat content (30.6g/100g); moderate portions advised
american_cheese,hypertension,BLOCKED,Very high sodium content (1660mg/100g) is not suitable for sodium-restricted diets
american_cheese,kidney_disease,BLOCKED,Very high sodium (1660mg/100g) and phosphorus; not suitable for kidney diets
american_cheese,lactose_intolerance,WARNING,Processed cheese product; contains lactose
american_cheese_restaurant,high_cholesterol,WARNING,High saturated fat content (31.1g/100g); moderate portions advised
american_cheese_restaurant,hypertension,BLOCKED,Very high sodium content (1600mg/100g) requires avoidance for sodium management
american_cheese_restaurant,kidney_disease,BLOCKED,Very high sodium (1600mg/100g) and phosphorus; not suitable for kidney diets
american_cheese_restaurant,lactose_intolerance,WARNING,Contains dairy-derived lactose; individual tolerance varies
apple_fuji,diabetes_type_2,WARNING,Higher natural sugar content (12.6g/100g) among apple varieties; moderate portions advised
apple_gala,diabetes_type_2,WARNING,Moderate natural sugar content; suitable in controlled portions
apple_honeycrisp,diabetes_type_2,WARNING,Higher natural sugar content (11.7g/100g); moderate portions advised
apple_juice,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
apple_juice,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
apple_red_delicious,diabetes_type_2,WARNING,Moderate natural sugar content; suitable in controlled portions
bacon_cooked,gout,WARNING,Processed pork with moderate purine content; limit in gout dietary plans
bacon_cooked,high_cholesterol,BLOCKED,Very high saturated fat (36.5g/100g) and sodium; not suitable for cholesterol management
bacon_cooked,hypertension,BLOCKED,Very high sodium content (1830mg/100g) is not suitable for sodium-restricted diets
bacon_cooked,kidney_disease,BLOCKED,Extremely high sodium (1830mg/100g) and phosphorus; not suitable for kidney-restricted diets
bacon_cooked,obesity,WARNING,High caloric density (500 kcal/100g) with high saturated fat; limit in weight-managed diets
baladi_bread,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
banana_overripe,diabetes_type_2,WARNING,Higher carbohydrate availability as banana ripens; moderate portions advised
banana_overripe,kidney_disease,WARNING,Higher potassium content as banana ripens; potassium management is important for kidney health
banana_ripe,diabetes_type_2,WARNING,Moderate to high natural carbohydrate content (23g/100g); portion awareness advised
banana_ripe,kidney_disease,WARNING,Moderate to high potassium content; kidney disease patients may need to limit potassium intake
basbousa,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
basbousa,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
bean_pupusas,diabetes_type_2,WARNING,Moderate carbohydrate content (31.5g/100g); portion awareness advised
beef_breakfast_sausage,celiac_disease,WARNING,Processed meats may contain gluten-based fillers; verify label
beef_breakfast_sausage,high_cholesterol,WARNING,High fat content (28.7g/100g); limit for cholesterol management
beef_breakfast_sausage,hypertension,BLOCKED,High sodium content (866mg/100g) typical of processed breakfast meats
beef_breakfast_sausage,obesity,WARNING,High caloric density (328 kcal/100g) and fat; limit in weight-managed diets
beef_eye_round_raw,gout,WARNING,Red meat with moderate purine content; gout dietary guidelines suggest limiting red meat
beef_hot_dog,celiac_disease,WARNING,May contain wheat-based fillers; check label for gluten-free certification
beef_hot_dog,gout,WARNING,Processed meat product; moderate purine content warrants limiting in gout diets
beef_hot_dog,high_cholesterol,WARNING,High fat content (28g/100g) in a processed meat product; limit consumption
beef_hot_dog,hypertension,BLOCKED,High sodium content (872mg/100g) typical of processed meat products
beef_hot_dog,obesity,WARNING,High caloric density (314 kcal/100g) processed meat; limit in weight-managed diets
beef_tenderloin_roasted,gout,WARNING,Red meat with moderate purine content; limit frequency for gout management
beef_tenderloin_roasted,kidney_disease,WARNING,High protein content (27.7g/100g); align portions with kidney diet protein limits
beef_top_loin_steak,gout,WARNING,Red meat contains moderate to high purines; limit portion frequency for gout management
beef_top_round_raw,gout,WARNING,Red meat with moderate purine content; limit frequency in gout management
biryani_chicken,diabetes_type_2,WARNING,This mixed meal contains a concentrated carbohydrate portion; portion size should be considered for blood glucose management.
biryani_chicken,hypertension,WARNING,Prepared mixed meals may contain substantial sodium; choose a moderate portion and lower-sodium preparation when possible.
biryani_chicken,obesity,WARNING,This mixed meal can be calorie-dense depending on preparation and portion size.
bread_white,celiac_disease,BLOCKED,Contains gluten (wheat); not safe for celiac disease
bread_white,diabetes_type_2,WARNING,Refined carbohydrate source (49.2g/100g); whole wheat alternatives preferred
bread_white,hypertension,WARNING,Moderate sodium content (477mg/100g) contributes to daily sodium intake
bread_whole_wheat,celiac_disease,BLOCKED,Contains gluten (whole wheat); not safe for celiac disease
bread_whole_wheat,hypertension,WARNING,Moderate sodium content (450mg/100g); portion awareness advised
burger_beef,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
burger_beef,hypertension,WARNING,This food can be high in sodium depending on preparation.
cake_chocolate,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cake_chocolate,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
cake_chocolate,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
calamari_fried,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
candy_gummy,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
candy_gummy,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
cereal_cornflakes,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cereal_cornflakes,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
cheddar_cheese,high_cholesterol,WARNING,High saturated fat content (34g/100g); moderate portions advised
cheddar_cheese,hypertension,WARNING,Moderate sodium content (654mg/100g); portion control advised
cheddar_cheese,lactose_intolerance,WARNING,Aged cheeses have reduced lactose; individual tolerance varies
cheddar_cheese,obesity,WARNING,High caloric density (408 kcal/100g); portion control is important
chicken_breast_cooked,kidney_disease,WARNING,High protein content (32.1g/100g); portion sizes should align with individual kidney diet limits
chicken_fried,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
chicken_fried,obesity,WARNING,Fried foods can increase total calorie intake.
chicken_nuggets,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
chicken_nuggets,obesity,WARNING,Fried foods can increase total calorie intake.
chicken_shawarma,hypertension,WARNING,This food can be high in sodium depending on preparation.
chicken_shawarma,obesity,WARNING,Shawarma can be calorie-dense depending on sauces and portion size.
chicken_with_rice,diabetes_type_2,WARNING,This mixed meal contains a concentrated carbohydrate portion; portion size should be considered for blood glucose management.
chicken_with_rice,obesity,WARNING,This mixed meal can be calorie-dense depending on preparation and portion size.
chocolate_bar,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
chocolate_bar,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
chorizo_pork,celiac_disease,WARNING,Some chorizo preparations include gluten-containing ingredients; verify label
chorizo_pork,gout,WARNING,Processed pork product with moderate purine content; limit for gout management
chorizo_pork,high_cholesterol,WARNING,High saturated fat content (28.1g/100g); not suitable for frequent consumption
chorizo_pork,hypertension,WARNING,High sodium content (983mg/100g); frequent consumption not advisable
chorizo_pork,obesity,WARNING,High caloric density (346 kcal/100g) with high fat; limit in weight-managed diets
coconut_oil,high_cholesterol,BLOCKED,Very high saturated fat content (99.1g/100g); not suitable for cholesterol management
coconut_oil,obesity,WARNING,Very high caloric density (833 kcal/100g); use sparingly in weight-managed diets
coffee_milk_sugar,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
cola_regular,diabetes_type_2,BLOCKED,Sugary drinks or juices may raise blood sugar quickly.
cola_regular,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
cola_regular,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
cookies_chocolate_chip,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cookies_chocolate_chip,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
cookies_chocolate_chip,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
cottage_cheese_lowfat,hypertension,WARNING,Moderate sodium content (321mg/100g); low-sodium varieties preferred
cottage_cheese_lowfat,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
cream_cheese,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
cream_cheese,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
deli_ham,celiac_disease,WARNING,Processed deli meats may contain gluten-based additives; verify label
deli_ham,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
deli_ham,hypertension,BLOCKED,High sodium content (1040mg/100g) typical of cured deli meats
deli_ham,kidney_disease,BLOCKED,High sodium (1040mg/100g) and phosphorus additives common in processed meats
dill_pickles,hypertension,BLOCKED,Very high sodium content (808mg/100g) from brining process
donut_glazed,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
donut_glazed,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
donut_glazed,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
egg_white_dried,hypertension,BLOCKED,Very high sodium content (1250mg/100g) in concentrated form; not suitable for sodium restriction
egg_white_dried,kidney_disease,BLOCKED,Extremely high protein concentration (79.9g/100g); not suitable for protein-restricted kidney diets
egg_whole_dried,high_cholesterol,WARNING,Concentrated fat and cholesterol content (39.8g/100g fat); portion awareness needed
egg_whole_dried,obesity,WARNING,High caloric density (575 kcal/100g) in concentrated form; use carefully
egg_whole_raw,high_cholesterol,WARNING,Contains dietary cholesterol; moderate consumption within a balanced diet is generally acceptable
egg_yolk_dried,high_cholesterol,BLOCKED,Very high fat (55.5g/100g) and cholesterol concentration; not suitable for cholesterol management
egg_yolk_dried,obesity,WARNING,Very high caloric density (654 kcal/100g); concentrated form requires careful portion control
egg_yolk_raw,high_cholesterol,WARNING,High cholesterol content; consume in moderation as part of a balanced diet
energy_drink,diabetes_type_2,BLOCKED,Sugary drinks or juices may raise blood sugar quickly.
energy_drink,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
energy_drink,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
fatta_egyptian,celiac_disease,BLOCKED,Traditional Egyptian fatta contains bread and is not suitable for celiac disease unless a verified gluten-free version is used.
fatta_egyptian,diabetes_type_2,WARNING,This mixed meal contains a concentrated carbohydrate portion; portion size should be considered for blood glucose management.
fatta_egyptian,high_cholesterol,WARNING,This food may contain a higher amount of saturated fat depending on preparation.
