food_key,source_type,source_reference,source_note,source_review_status
almonds_dry_roasted,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
american_cheese,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
american_cheese_restaurant,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_fuji,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_gala,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_granny_smith,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_honeycrisp,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_juice,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
apple_red_delicious,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
avocado,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
bacon_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
baladi_bread,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
banana,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
banana_overripe,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
banana_ripe,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
basbousa,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
bean_pupusas,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beans_black,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beans_kidney,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_breakfast_sausage,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_eye_round_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_hot_dog,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_kebab,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_steak_grilled,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_tenderloin_roasted,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_top_loin_steak,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
beef_top_round_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
biryani_chicken,curated_common_average,,"Approximate common prepared-food average per 100 g, added for image/text lookup coverage only.",REVIEW_REQUIRED_BEFORE_RECOMMENDATION_OR_PLAN
blueberries,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
boiled_egg,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
bread_white,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
bread_whole_wheat,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
broccoli_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
broccoli_steamed,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
burger_beef,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cake_chocolate,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
calamari_fried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
candy_gummy,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cantaloupe_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
carrots_frozen,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
carrots_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cereal_cornflakes,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cheddar_cheese,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_breast_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_breast_grilled,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_drumstick_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_fried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_nuggets,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_shawarma,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chicken_with_rice,curated_common_average,,"Approximate common prepared-food average per 100 g, added for image/text lookup coverage only.",REVIEW_REQUIRED_BEFORE_RECOMMENDATION_OR_PLAN
chickpeas_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chocolate_bar,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
chorizo_pork,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
coconut_oil,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cod_baked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
coffee_black,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
coffee_milk_sugar,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cola_diet,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cola_regular,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cookies_chocolate_chip,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
corn_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cottage_cheese_lowfat,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
couscous_cooked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cream_cheese,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
cucumber,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
dark_chocolate,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
dates,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
deli_ham,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
diced_tomatoes_canned,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
dill_pickles,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
donut_glazed,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_white_dried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_white_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_whole_dried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_whole_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_yolk_dried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
egg_yolk_raw,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
energy_drink,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
falafel,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
falafel_taameya,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
fatta_egyptian,curated_common_average,,"Approximate common prepared-food average per 100 g, added for image/text lookup coverage only.",REVIEW_REQUIRED_BEFORE_RECOMMENDATION_OR_PLAN
feta_cheese,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
figs_dried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
fish_baked,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
fish_fried,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
fish_with_rice,curated_common_average,,"Approximate common prepared-food average per 100 g, added for image/text lookup coverage only.",REVIEW_REQUIRED_BEFORE_RECOMMENDATION_OR_PLAN
flour_ap_bleached,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_ap_unbleached,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_ap_unenriched,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_bread_white,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_corn_yellow,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_pastry,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_rice_brown,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_rice_glutinous,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_rice_white,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
flour_soy_defatted,legacy_mazaj_dataset,,Original row source identifier was not preserved in the supplied dataset.,SOURCE_REFERENCE_REQUIRED
