food_key,image_lookup_allowed,recommendation_allowed,plan_allowed,safety_review_status,plan_role,notes
almonds_dry_roasted,True,True,True,CURATED_EXISTING_DATASET,healthy_fat_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
american_cheese,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
american_cheese_restaurant,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_fuji,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_gala,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_granny_smith,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_honeycrisp,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_juice,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
apple_red_delicious,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
avocado,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
bacon_cooked,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
baladi_bread,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
banana,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
banana_overripe,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
banana_ripe,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
basbousa,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
bean_pupusas,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beans_black,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beans_kidney,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_breakfast_sausage,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_eye_round_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_hot_dog,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_kebab,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_steak_grilled,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_tenderloin_roasted,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_top_loin_steak,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
beef_top_round_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
biryani_chicken,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
blueberries,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
boiled_egg,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
bread_white,True,True,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
bread_whole_wheat,True,True,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
broccoli_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
