food_key,mood,reason
banana_ripe,fatigue,Provides quick natural carbohydrates and potassium for energy support
banana_ripe,low_energy,Light fruit option with natural sugars for a quick refreshment boost
banana_overripe,fatigue,Higher natural sugar content offers a fast carbohydrate source for energy
banana_overripe,low_energy,Soft and easily digestible fruit for quick energy replenishment
apple_red_delicious,low_energy,Light fruit with natural sugars and fiber for a gentle energy lift
apple_red_delicious,stress,Crisp light snack option that supports a balanced snacking routine
apple_honeycrisp,low_energy,Refreshing fruit with natural carbohydrates for a quick pick-me-up
apple_honeycrisp,stress,Balanced light snack with fiber to support a steady routine
apple_granny_smith,low_energy,Tart refreshing fruit providing natural carbohydrates and fiber
apple_gala,low_energy,Sweet mild fruit with natural sugars for a light energy boost
apple_fuji,low_energy,Naturally sweet fruit option offering a gentle carbohydrate source
apple_fuji,stress,Light portable snack suitable for a balanced nutrition routine
oranges_raw,fatigue,Natural sugars and vitamin C content support energy and refreshment
oranges_raw,low_energy,Hydrating fruit with natural carbohydrates for a quick uplift
strawberries_raw,stress,Low-calorie refreshing snack option for a lighter balanced routine
strawberries_raw,fatigue,Natural sugars provide a gentle energy source with minimal heaviness
peaches_raw,stress,Light hydrating fruit suitable as a calming balanced snack
peaches_raw,low_energy,Naturally sweet fruit with moderate carbohydrates for gentle energy
kiwi_raw,focus,Provides natural carbohydrates and fiber to support steady energy levels
kiwi_raw,low_energy,Refreshing light fruit with natural sugars for a quick energy lift
cantaloupe_raw,fatigue,High water content and natural sugars support hydration and energy
cantaloupe_raw,low_energy,Light hydrating fruit offering quick natural carbohydrates
nectarines_raw,stress,Light refreshing fruit suitable as a balanced snack option
nectarines_raw,low_energy,Natural sugars provide a gentle quick energy source
pears_raw,stress,Mild easily digestible fruit for a lighter balanced snack
pears_raw,low_energy,Provides natural carbohydrates and fiber for gentle energy support
figs_dried,fatigue,Concentrated natural carbohydrates offer a quick dense energy source
figs_dried,sadness,Naturally sweet comfort food option in moderate portions
grapefruit_juice,low_energy,Light citrus drink providing natural sugars for a refreshing lift
grapefruit_juice,fatigue,Quick liquid carbohydrate source to support energy replenishment
broccoli_raw,focus,Fiber and protein content supports steady digestion and alertness
broccoli_raw,stress,Low-calorie nutrient-dense vegetable suitable for a balanced meal
kale_raw,focus,Nutrient-dense leafy green supporting steady energy and balanced nutrition
kale_raw,stress,Light vegetable option with fiber supporting a balanced routine
kale_frozen_cooked,focus,Cooked leafy green providing fiber and protein for steady sustained energy
kale_frozen_cooked,stress,Warm light vegetable suitable as part of a balanced calming meal
romaine_lettuce,stress,Very light low-calorie leafy option suitable for a light balanced meal
romaine_lettuce,low_energy,Hydrating low-calorie vegetable as a refreshing light addition
carrots_frozen,focus,Natural carbohydrates and fiber provide a steady gentle energy source
carrots_frozen,low_energy,Light vegetable with natural sugars for a mild energy lift
tomatoes_grape,stress,Low-calorie light snack option supporting a balanced nutrition routine
diced_tomatoes_canned,stress,Low-calorie versatile ingredient suitable for a light balanced meal
green_beans_canned,stress,Low-calorie vegetable option supporting a light balanced routine
green_beans_canned,focus,Provides fiber and protein for steady digestion and sustained energy
red_onion_raw,focus,Fiber-containing vegetable that supports healthy digestion and balance
yellow_onion_raw,focus,Fiber-rich vegetable suitable for balanced meal preparation
white_onion_raw,focus,Provides dietary fiber supporting steady digestive balance
garlic_raw,focus,Aromatic ingredient with fiber and plant protein supporting balanced nutrition
greek_yogurt_plain,stress,High-protein light snack option supporting a balanced and satisfying routine
greek_yogurt_plain,focus,Protein content supports sustained energy and steady concentration
greek_yogurt_strawberry,stress,Balanced light snack with protein and moderate carbohydrates
greek_yogurt_strawberry,sadness,Naturally sweet creamy comfort option in a lighter balanced form
cottage_cheese_lowfat,stress,Light high-protein snack supporting a balanced low-calorie routine
cottage_cheese_lowfat,focus,Protein-rich dairy option that supports steady energy and focus
milk_skim,stress,Light protein-containing beverage suitable for a balanced routine
milk_1_percent,stress,Low-fat protein source supporting a balanced nutritional routine
milk_2_percent,focus,Balanced dairy option with protein and carbohydrates for steady energy
milk_whole,sadness,Warm comforting drink option with balanced macronutrients
milk_whole,fatigue,Provides protein and carbohydrates for energy and satiety support
large_egg_whole,focus,Complete protein source supporting sustained energy and concentration
large_egg_whole,fatigue,Balanced protein and fat content provides steady energy support
large_egg_white,focus,High-protein low-fat option supporting lean energy and alertness
large_egg_white,stress,Light high-protein food supporting a balanced nutritional routine
egg_whole_raw,focus,Complete protein supports sustained mental and physical energy
egg_white_raw,focus,Lean protein source supporting steady energy and balanced nutrition
ricotta_cheese,sadness,Creamy mild cheese offering a satisfying moderate comfort option
ricotta_cheese,stress,Moderate-protein dairy option suitable for a balanced light meal
mozzarella_cheese,sadness,Mild creamy cheese offering comfort in moderate portions
mozzarella_cheese,focus,Protein and fat balance supports sustained energy during tasks
swiss_cheese,focus,High-protein cheese providing sustained energy support
cheddar_cheese,sadness,Rich comforting cheese suitable for a satisfying moderate portion
chicken_breast_cooked,focus,Lean high-protein food supporting sustained energy and concentration
chicken_breast_cooked,fatigue,High-protein lean option supporting muscle recovery and energy
chicken_breast_cooked,stress,Lean protein-rich food supporting a balanced satisfying meal
